NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
03145,Babyfood fruit applesauce and cherries junior,--,0.0,51.0,85.6
03144,Babyfood fruit applesauce and cherries strained,--,0.0,51.0,85.63
03151,Babyfood fruit applesauce and pineapple junior,0.0,0.1,39.0,89.1
03150,Babyfood fruit applesauce and pineapple strained,0.0,0.1,37.0,89.5
03147,Babyfood fruit applesauce with banana junior,0.0,0.37,66.0,83.14
03117,Babyfood fruit applesauce junior,--,0.0,37.0,89.5
03116,Babyfood fruit applesauce strained,0.0,0.2,41.0,88.6
03128,Babyfood fruit apricot with tapioca junior,0.0,0.3,63.0,82.1
03118,Babyfood fruit apricot with tapioca strained,0.0,0.3,60.0,83.1
03994,Babyfood fruit banana and strawberry junior,0.0,0.71,109.0,72.23
03156,Babyfood fruit bananas and pineapple with tapioca junior,0.0,0.2,68.0,81.1
03157,Babyfood fruit bananas and pineapple with tapioca strained,0.0,0.2,65.0,81.7
03163,Babyfood fruit bananas with apples and pears strained,0.0,0.9,83.0,79.0
03280,Babyfood fruit bananas with tapioca junior,0.0,0.4,67.0,81.5
03129,Babyfood fruit bananas with tapioca strained,0.0,0.4,56.0,84.0
03131,Babyfood fruit peaches junior,0.0,0.94,65.0,83.65
03130,Babyfood fruit peaches strained,0.0,0.94,65.0,83.65
03159,Babyfood fruit pears and pineapple junior,0.0,0.3,44.0,87.8
03158,Babyfood fruit pears and pineapple strained,0.0,0.3,41.0,88.5
03133,Babyfood fruit pears junior,0.0,0.3,44.0,87.8
03132,Babyfood fruit pears strained,0.0,0.3,42.0,88.4
03135,Babyfood fruit plums with tapioca without ascorbic acid junior,0.0,0.1,74.0,79.2
03134,Babyfood fruit plums with tapioca without ascorbic acid strained,0.0,0.1,71.0,80.0
03137,Babyfood fruit prunes with tapioca without ascorbic acid junior,0.0,0.6,70.0,80.1
03136,Babyfood fruit prunes with tapioca without ascorbic acid strained,0.0,0.6,69.0,80.3
43007,Babyfood fruit tutti frutti junior,15.0,0.4,69.0,82.9
43006,Babyfood fruit tutti frutti strained,15.0,0.4,66.0,83.5
42286,Babyfood green beans and turkey strained,11.0,4.1,51.0,87.5
03093,Babyfood green beans dices toddler,0.0,1.2,29.0,92.6
03001,Babyfood juice treats fruit medley toddler,--,0.0,347.0,12.89
03166,Babyfood juice apple,--,0.0,47.0,88.0
43535,Babyfood juice apple - cherry,0.0,0.2,47.0,88.2
03268,Babyfood juice apple and cherry,0.0,0.1,41.0,89.5
03265,Babyfood juice apple and grape,0.0,0.1,46.0,88.1
03168,Babyfood juice apple and peach,0.0,0.2,43.0,89.0
03170,Babyfood juice apple and plum,0.0,0.1,49.0,87.3
03171,Babyfood juice apple and prune,0.0,0.2,72.0,81.3
03269,Babyfood juice apple with calcium,0.0,0.06,46.0,88.3
42266,Babyfood juice apple-sweet potato,0.0,0.3,48.0,87.9
03267,Babyfood juice fruit punch with calcium,0.0,0.2,52.0,86.5
03179,Babyfood juice mixed fruit,0.0,0.1,47.0,87.9
03172,Babyfood juice orange,0.0,0.6,45.0,88.5
03174,Babyfood juice orange and apple and banana,0.0,0.4,47.0,87.6
03175,Babyfood juice orange and apricot,0.0,0.8,46.0,87.8
03177,Babyfood juice orange and pineapple,0.0,0.5,48.0,87.3
42267,Babyfood juice orange-carrot,0.0,0.5,43.0,89.1
43408,Babyfood juice pear,--,0.0,47.0,87.9
03048,Babyfood macaroni and cheese toddler,7.0,3.5,82.0,81.7
03959,Babyfood mashed cheddar potatoes and broccoli toddlers,4.0,1.11,48.0,88.97
43417,Babyfood meat beef with vegetables toddler,12.0,3.5,68.0,85.23
03003,Babyfood meat beef junior,51.0,12.03,81.0,82.44
03002,Babyfood meat beef strained,51.0,12.03,81.0,82.44
03014,Babyfood meat chicken sticks junior,78.0,14.6,188.0,68.3
03013,Babyfood meat chicken junior,59.0,14.0,146.0,76.0
03012,Babyfood meat chicken strained,61.0,13.7,130.0,77.5
03009,Babyfood meat ham junior,29.0,11.3,97.0,80.5
03008,Babyfood meat ham strained,24.0,11.3,97.0,80.5
03011,Babyfood meat lamb junior,38.0,15.2,112.0,79.6
03010,Babyfood meat lamb strained,36.0,14.07,87.0,81.06
03021,Babyfood meat meat sticks junior,70.0,13.4,184.0,69.5
03007,Babyfood meat pork strained,48.0,14.0,124.0,78.4
03017,Babyfood meat turkey sticks junior,65.0,13.7,188.0,69.8
03016,Babyfood meat turkey junior,58.0,11.5,111.0,80.32
03015,Babyfood meat turkey strained,58.0,11.5,111.0,80.32
03005,Babyfood meat veal strained,33.0,13.12,81.0,82.37
42120,Babyfood mixed fruit juice with low fat yogurt,3.0,2.4,76.0,81.5
43523,Babyfood mixed fruit yogurt strained,0.0,0.8,75.0,81.8
03205,Babyfood oatmeal cereal with fruit dry instant toddler fortified,0.0,10.5,402.0,5.4
03161,Babyfood peaches dices toddler,0.0,0.5,51.0,87.4
03141,Babyfood pears dices toddler,0.0,0.3,57.0,85.6
42279,Babyfood peas and brown rice,0.0,3.4,64.0,84.1
03122,Babyfood peas dices toddler,0.0,3.9,64.0,84.6
03293,Babyfood plums bananas and rice strained,0.0,1.1,57.0,85.6
03112,Babyfood potatoes toddler,0.0,1.0,52.0,86.8
03215,Babyfood pretzels,0.0,10.8,397.0,4.0
03139,Babyfood prunes without vitamin c strained,0.0,1.0,100.0,74.3
03046,Babyfood ravioli cheese filled with tomato sauce,7.0,3.6,99.0,76.5
43529,Babyfood rice and apples dry,0.0,6.7,396.0,3.2
03019,Babyfood snack GERBER GRADUATE FRUIT  STRIPS Real Fruit Bars,0.0,0.82,330.0,19.09
03302,Babyfood snack GERBER GRADUATE YOGURT MELTS,0.0,14.29,429.0,6.0
03998,Babyfood Snack GERBER GRADUATES LIL CRUNCHIES baked whole grain corn snack,13.0,0.0,503.0,2.6
03216,Babyfood teething biscuits,7.0,10.7,392.0,6.4
42278,Babyfood vegetable and brown rice strained,0.0,1.9,69.0,84.1
03114,Babyfood vegetable butternut squash and corn,0.0,2.0,50.0,87.3
03096,Babyfood vegetable green beans and potatoes,5.0,2.2,62.0,86.2
03098,Babyfood vegetables beets strained,0.0,1.3,34.0,90.1
03100,Babyfood vegetables carrots junior,0.0,0.8,32.0,91.0
03099,Babyfood vegetables carrots strained,0.0,0.8,26.0,92.3
03120,Babyfood vegetables corn creamed junior,1.0,1.4,65.0,81.4
03119,Babyfood vegetables corn creamed strained,1.0,1.4,57.0,83.6
03283,Babyfood vegetables garden vegetable strained,0.0,2.3,32.0,90.0
03092,Babyfood vegetables green beans junior,0.0,1.2,24.0,92.5
03091,Babyfood vegetables green beans strained,0.0,1.2,27.0,91.85
03282,Babyfood vegetables mix vegetables junior,0.0,1.4,36.0,89.4
03286,Babyfood vegetables mix vegetables strained,0.0,1.0,36.0,89.8
